iter	Passed	Remaining
0	1	133
1	2	129
2	3	124
3	4	113
4	5	113
5	7	112
6	8	110
7	9	109
8	10	108
9	11	107
10	13	107
11	14	106
12	15	105
13	16	103
14	18	102
15	19	100
16	20	99
17	21	98
18	22	96
19	23	95
20	25	94
21	26	93
22	27	92
23	28	91
24	30	90
25	31	88
26	32	87
27	33	86
28	34	85
29	35	83
30	37	82
31	38	81
32	39	80
33	40	78
34	41	77
35	43	76
36	44	75
37	45	74
38	46	73
39	47	71
40	49	70
41	49	68
42	51	67
43	52	66
44	53	65
45	55	64
46	56	63
47	57	62
48	58	61
49	60	60
50	61	59
51	62	58
52	64	57
53	65	55
54	66	54
55	68	53
56	69	52
57	70	51
58	71	49
59	73	48
60	74	47
61	75	46
62	77	45
63	78	44
64	79	43
65	81	41
66	82	40
67	84	39
68	85	38
69	86	37
70	88	36
71	89	34
72	90	33
73	91	32
74	93	31
75	94	29
76	96	28
77	97	27
78	98	26
79	99	24
80	100	23
81	102	22
82	103	21
83	104	19
84	105	18
85	106	17
86	108	16
87	109	14
88	110	13
89	111	12
90	113	11
91	114	9
92	115	8
93	116	7
94	118	6
95	119	4
96	120	3
97	121	2
98	123	1
99	124	0
